time,ticker,blockchain_type,min_value,max_value,average_amount,average_fee,average_gas_price,gas_used,difficulty,transaction_amount
1672635600,ETH,ETH,0.0,2780738063.300011,133541764.10564755,0.0004817159201975735,15.76319835459013,16154215.833333334,58750003716598360000000,62
1672632000,ETH,ETH,0.0,15252881193.432648,163031497.949908,0.0003002864404279565,16.52585776729472,18011416.5,58750003716598360000000,116
1672628400,ETH,ETH,0.0,4555316666.666667,84799492.92901711,0.0002954389014974669,16.134599465027573,17480173.666666668,58750003716598360000000,97
1672624800,ETH,ETH,0.0,21049275414.053585,332675296.78478897,0.0001842502867920935,20.409893423723915,14229104.0,58750003716598360000000,129
1672621200,ETH,ETH,0.0,16422647191.116156,241711195.18838322,0.00019440952026711757,17.037679843927958,12083522.333333334,58750003716598360000000,113
1672617600,ETH,ETH,0.0,86956550880.83864,1133341862.265494,0.0001716827458665781,25.8825611317726,10077870.333333334,58750003716598360000000,107
1672614000,ETH,ETH,0.0,8215137629.819145,178273646.70938578,0.00017406103433843987,17.184266883244803,15066511.0,58750003716598360000000,139
1672610400,ETH,ETH,0.0,24884968063.713654,382580751.6489226,0.00028091475966705897,18.46478106337298,17217676.166666668,58750003716598360000000,122
1672606800,ETH,ETH,0.0,7406608406.944728,199116372.8015604,0.0001890861495405943,17.80717608953542,12881878.0,58750003716598360000000,112
1672603200,ETH,ETH,0.0,19992456245.0,758421876.1592342,0.00016767034278356054,17.309239987386686,10753030.0,58750003716598360000000,103
1672599600,ETH,ETH,0.0,21594313486.882805,299779580.915189,0.00018021447642940165,16.25784676424394,14414594.833333334,58750003716598360000000,134
1672596000,ETH,ETH,0.0,49848050000.0,623147068.0733548,0.0002361392065531119,16.347260723487917,17739032.166666668,58750003716598360000000,120
1672592400,ETH,ETH,0.0,13557252924.774195,315391094.3233482,0.00021992077847395953,16.66035650079853,15946909.0,58750003716598360000000,126
1672588800,ETH,ETH,0.0,17039072950.011948,280322851.80854666,0.00019548280831282886,15.847268915481044,12046250.333333334,58750003716598360000000,88
1672585200,ETH,ETH,0.0,19224671438.564854,299830137.9091505,0.00020797625570506714,17.11310810729358,12482279.166666666,58750003716598360000000,116
1672581600,ETH,ETH,0.0,7293469741.666667,179643650.94365725,0.000313090586378164,15.101406350860323,15076093.666666666,58750003716598360000000,114
1672578000,ETH,ETH,0.0,17775431200.832058,274749949.3843791,0.0002893426860127208,16.53015794681026,12030391.0,58750003716598360000000,69
1672574400,ETH,ETH,0.0,115700271959.1422,700685963.4395291,0.00026844631096034817,16.884554489588922,17885254.833333332,58750003716598360000000,99
1672570800,ETH,ETH,0.0,96503358415.17595,1562152507.3424206,0.0003181434804689845,14.86822010271019,14108272.166666666,58750003716598360000000,72
1672567200,ETH,ETH,0.0,11781545391.333334,289441972.617742,0.00025410206862964757,14.746096725224072,12214976.833333334,58750003716598360000000,66
1672563600,ETH,ETH,0.0,11770483602.420115,451167323.91593075,0.00035172706180787325,14.813829029236778,18524441.833333332,58750003716598360000000,79
1672560000,ETH,ETH,0.0,3247786419.7368703,142132049.65235475,0.0004324521885590875,14.498668396284764,20283068.666666668,58750003716598360000000,58
1672556400,ETH,ETH,0.0,12806144072.383604,252579225.90753174,0.0003496504599641837,14.755964275074954,16328898.166666666,58750003716598360000000,79
1672552800,ETH,ETH,0.0,71362218110.0,704997683.9319234,0.00028237791973072333,16.508181742257815,17517548.333333332,58750003716598360000000,91
1672549200,ETH,ETH,0.0,31930175541.666668,454719548.3046182,0.00030282948468796664,15.761315932918457,16569576.333333334,58750003716598360000000,91
1672545600,ETH,ETH,0.0,15189713814.374517,269675586.28004926,0.00025503958517139624,17.213503020469826,21475311.333333332,58750003716598360000000,130
1672542000,ETH,ETH,0.0,18579982726.633762,270250202.5023088,0.0002310351722358755,17.49505293364722,13552068.833333334,58750003716598360000000,91
1672538400,ETH,ETH,0.0,31025666666.666668,427530210.6451598,0.00020113463804141335,17.64774023801459,8911055.0,58750003716598360000000,75
1672534800,ETH,ETH,0.0,72390578670.1649,1085291926.0182655,0.0003529330911190617,15.951983349355714,20166659.833333332,58750003716598360000000,90
1672531200,ETH,ETH,0.0,58808812571.06885,5832558469.45232,0.00017274093050046843,15.435947128558892,9883747.666666666,58750003716598360000000,96
1672527600,ETH,ETH,0.0,108148921750.0,855560423.5955211,0.00031581456422830403,17.975622584465604,17925718.833333332,58750003716598360000000,105
1672524000,ETH,ETH,0.0,20974310733.14699,513780728.874193,0.00029960091728900047,18.680657875111518,18081776.0,58750003716598360000000,104
1672520400,ETH,ETH,0.0,4925796559.306203,109232749.70026784,0.0003708748898782494,16.56680310765032,8241718.333333333,58750003716598360000000,80
1672516800,ETH,ETH,0.0,44941905895.40356,471465200.2245901,0.00023345746755188738,17.071587560226437,22283870.333333332,58750003716598360000000,159
1672513200,ETH,ETH,0.0,28117511001.19057,343111014.9734762,0.00018951205727257985,20.789882542744547,14438049.5,58750003716598360000000,138
1672509600,ETH,ETH,0.0,452440899941.2305,2338681717.8409905,0.00017561548733111695,17.728608745890337,16216428.166666666,58750003716598360000000,151
1672506000,ETH,ETH,0.0,15653288820.937521,233422750.21322107,0.0001788254768428547,22.560000020439926,17600124.5,58750003716598360000000,160
1672502400,ETH,ETH,0.0,273228633709.48434,1374392800.6230006,0.0003301297725804566,18.767190349124174,20517673.666666668,58750003716598360000000,128
