close_time,trading_pair,open,close,high,low,volume,trades_amount
1674820800,ETHUSDT,1577.03,1578.84,1578.85,1573.36,7919.35,12485180
1674817200,ETHUSDT,1578.3,1577.03,1581.6,1573.33,13270.488,20942499
1674813600,ETHUSDT,1579.04,1578.31,1581.07,1575.87,12015.182,18964146
1674810000,ETHUSDT,1585.4,1579.04,1586.06,1578.01,11690.732,18495191
1674806400,ETHUSDT,1582.41,1585.4,1586.09,1578.2,11689.933,18489598
1674802800,ETHUSDT,1583.02,1582.41,1585.5,1577.66,11893.408,18809309
1674799200,ETHUSDT,1564.81,1583.02,1589.9,1564.42,19783.855,31202857
1674795600,ETHUSDT,1565.74,1564.8,1569.15,1563.08,14361.439,22483520
1674792000,ETHUSDT,1570.51,1565.73,1571.87,1565.56,19400.828,30453419
1674788400,ETHUSDT,1562.81,1570.51,1572.7,1560.58,18146.047,28456582
1674784800,ETHUSDT,1588.87,1562.81,1591.9,1552.54,78008.95,122324468
1674781200,ETHUSDT,1601.08,1588.87,1606.53,1586.09,22887.76,36522984
1674777600,ETHUSDT,1601.77,1601.09,1604.06,1597.49,8929.474,14302494
1674774000,ETHUSDT,1603.13,1601.78,1609.47,1600.32,13166.649,21143554
1674770400,ETHUSDT,1608.89,1603.12,1609.53,1594.38,14561.058,23311136
1674766800,ETHUSDT,1603.78,1608.88,1611.26,1601.59,15290.727,24570966
1674763200,ETHUSDT,1600.95,1603.77,1605.48,1596.35,10379.832,16624117
1674759600,ETHUSDT,1592.14,1600.94,1607.27,1590.0,17433.812,27888811
1674756000,ETHUSDT,1594.15,1592.15,1598.3,1590.73,10568.514,16855557
1674752400,ETHUSDT,1589.71,1594.14,1595.49,1577.43,37150.61,59011611
1674748800,ETHUSDT,1605.42,1589.79,1616.26,1584.12,42565.418,68138299
1674745200,ETHUSDT,1617.86,1605.42,1621.06,1596.67,49630.402,79981431
1674741600,ETHUSDT,1616.04,1617.86,1618.56,1592.89,51175.504,82326253
1674738000,ETHUSDT,1604.33,1616.05,1617.24,1602.72,24017.889,38702109
1674734400,ETHUSDT,1602.59,1604.33,1605.0,1599.17,11293.018,18103454
1674730800,ETHUSDT,1606.39,1602.59,1608.07,1590.0,21703.791,34746341
1674727200,ETHUSDT,1608.0,1606.38,1610.45,1600.53,17005.957,27314385
1674723600,ETHUSDT,1604.69,1608.01,1609.7,1602.8,16720.887,26853637
1674720000,ETHUSDT,1613.24,1604.68,1613.39,1604.0,17912.195,28794442
1674716400,ETHUSDT,1619.58,1613.23,1621.9,1597.3,43444.37,69900731
1674712800,ETHUSDT,1616.14,1619.59,1620.76,1615.0,10242.545,16558521
1674709200,ETHUSDT,1614.87,1616.14,1618.74,1612.69,12039.395,19457720
1674705600,ETHUSDT,1613.88,1614.87,1617.58,1613.3,11112.515,17944913
1674702000,ETHUSDT,1616.72,1613.89,1622.4,1610.14,18580.46,30029479
1674698400,ETHUSDT,1628.97,1616.72,1629.64,1615.08,25586.564,41510544
1674694800,ETHUSDT,1611.95,1628.97,1632.84,1610.63,32266.258,52223945
1674691200,ETHUSDT,1585.95,1611.94,1617.72,1580.54,44330.43,71008499
1674687600,ETHUSDT,1618.19,1585.95,1641.0,1575.0,75954.445,122406794
1674684000,ETHUSDT,1580.69,1618.18,1624.13,1571.29,57333.15,91511143
1674680400,ETHUSDT,1561.49,1580.69,1583.6,1561.48,35374.797,55771080
1674676800,ETHUSDT,1555.54,1561.48,1562.18,1554.1,15106.028,23528307
