time,keyword,positive,negative,neutral
1675778400,#ETH,39,3,158
1675774800,#ETH,34,3,163
1675771200,#ETH,37,0,163
1675767600,#ETH,35,2,163
1675764000,#ETH,39,3,158
1675760400,#ETH,22,4,174
1675756800,#ETH,24,4,164
1675753200,#ETH,28,7,165
1675749600,#ETH,20,4,158
1675746000,#ETH,32,10,158
1675742400,#ETH,31,8,161
1675738800,#ETH,42,6,152
1675735200,#ETH,32,9,159
1675731600,#ETH,39,6,155
1675728000,#ETH,30,2,168
1675724400,#ETH,45,3,152
1675720800,#ETH,36,9,155
1675717200,#ETH,25,6,169
1675713600,#ETH,43,6,151
1675710000,#ETH,34,8,158
1675706400,#ETH,36,8,156
1675702800,#ETH,33,7,160
1675699200,#ETH,29,5,166
1675695600,#ETH,21,5,174
1675692000,#ETH,25,7,168
1675688400,#ETH,27,7,166
1675684800,#ETH,33,5,162
1675681200,#ETH,30,5,165
1675677600,#ETH,25,3,172
1675674000,#ETH,36,3,161
1675670400,#ETH,31,6,163
1675666800,#ETH,24,4,172
1675663200,#ETH,27,4,169
1675659600,#ETH,29,2,161
1675656000,#ETH,26,6,161
1675652400,#ETH,24,2,151
1675648800,#ETH,24,5,154
1675645200,#ETH,33,10,157
1675641600,#ETH,30,9,161
1675638000,#ETH,44,8,148
1675634400,#ETH,34,4,162
1675630800,#ETH,39,11,150
1675627200,#ETH,41,10,149
1675623600,#ETH,39,6,155
1675620000,#ETH,32,9,159
1675616400,#ETH,31,4,165
1675612800,#ETH,38,6,156
1675609200,#ETH,26,7,167
1675605600,#ETH,41,4,155
1675602000,#ETH,28,4,168
1675598400,#ETH,34,4,162
1675594800,#ETH,22,5,173
1675591200,#ETH,39,5,156
1675587600,#ETH,31,5,164
1675584000,#ETH,34,8,158
1675580400,#ETH,36,6,158
1675576800,#ETH,30,5,152
1675573200,#ETH,31,2,144
1675569600,#ETH,25,12,163
1675566000,#ETH,29,7,164
1675562400,#ETH,27,5,168
1675558800,#ETH,16,9,175
1675555200,#ETH,16,4,180
1675551600,#ETH,33,4,163
1675548000,#ETH,29,6,165
1675544400,#ETH,29,4,167
1675540800,#ETH,36,2,162
1675537200,#ETH,36,4,160
1675533600,#ETH,37,11,152
1675530000,#ETH,31,12,157
1675526400,#ETH,37,3,160
1675522800,#ETH,38,5,157
1675519200,#ETH,33,10,157
1675515600,#ETH,23,3,174
1675512000,#ETH,33,4,163
1675508400,#ETH,33,6,161
1675504800,#ETH,30,8,162
1675501200,#ETH,20,5,175
1675497600,#ETH,26,3,168
1675494000,#ETH,29,3,168
1675490400,#ETH,31,7,160
1675486800,#ETH,29,6,165
1675483200,#ETH,29,7,145
1675479600,#ETH,33,4,163
1675476000,#ETH,28,5,167
1675472400,#ETH,25,6,169
1675468800,#ETH,33,7,160
1675465200,#ETH,34,5,161
1675461600,#ETH,38,0,162
1675458000,#ETH,31,5,164
1675454400,#ETH,40,5,155
